"id","days","age","addon","park","ctx","x","f1","f2","f3"
"theme-park_8_A_WPS_0_RF_AF_SOF_progenstr","8","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_8_C_0_0_RF_AF_SOF_progenstr","8","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_8_C_PHP_0_RF_AF_SOF_progenstr","8","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_8_C_P_0_RF_AF_SOF_progenstr","8","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_8_C_WPS_0_RF_AF_SOF_progenstr","8","C","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_9_A_0_0_RF_AF_SOF_progenstr","9","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_9_A_PHP_0_RF_AF_SOF_progenstr","9","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_9_A_P_0_RF_AF_SOF_progenstr","9","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_9_A_WPS_0_RF_AF_SOF_progenstr","9","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_9_C_0_0_RF_AF_SOF_progenstr","9","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_9_C_PHP_0_RF_AF_SOF_progenstr","9","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_9_C_P_0_RF_AF_SOF_progenstr","9","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_9_C_WPS_0_RF_AF_SOF_progenstr","9","C","WPS","","progenstr","0","RF","AF","SOF"
